,age,height_cm,weight_kgs,positions,potential,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle
7695,19,185.42,72.1,327,76,1,3,1,6,13,6,13,25,9,12,10,13,26,18,17,25,33,37,49,16,61,25,42,9,26,12,6,24,16,37,13,13,12
5767,19,182.88,73.9,675,67,1,3,2,6,49,53,37,53,40,59,44,33,46,50,77,69,70,49,70,50,45,47,51,33,34,19,47,45,50,46,33,24,30
14461,38,187.96,86.2,327,70,1,3,1,6,33,12,16,56,15,29,13,21,45,33,25,22,21,75,43,19,35,27,44,14,39,22,13,56,35,61,12,21,24
12209,29,182.88,77.1,149,67,1,3,2,6,46,45,63,66,44,62,49,53,64,58,56,63,62,69,60,68,61,68,70,63,59,69,50,64,52,62,69,70,71
4032,27,182.88,71.2,578,60,1,4,2,3,58,42,55,60,33,49,42,36,56,59,52,53,50,56,52,52,78,66,55,15,56,58,50,51,47,56,58,62,61
15208,24,170.18,74.8,769,78,1,3,4,6,68,64,43,65,54,75,74,66,59,74,79,78,82,73,80,75,41,74,51,74,45,26,70,64,67,76,27,35,29
12796,26,170.18,62.1,701,69,1,3,3,6,65,61,56,64,61,67,81,73,57,67,86,87,90,62,88,74,72,70,35,66,43,23,59,58,64,66,37,36,31
13915,28,185.42,83.0,104,70,1,2,2,6,59,36,66,58,35,48,36,40,64,54,69,69,66,64,54,52,68,76,74,49,64,72,40,42,40,62,72,74,72
9015,33,152.4,73.0,149,63,1,3,2,6,52,46,58,61,34,49,40,44,62,58,43,46,63,57,60,64,74,80,78,66,75,58,50,63,48,61,60,60,54
11703,32,152.4,76.2,328,67,1,3,2,6,72,37,60,68,59,66,77,76,63,64,65,58,63,64,71,73,67,62,66,58,64,67,55,56,66,68,69,69,67
705,31,190.5,87.1,327,74,1,2,1,6,19,13,12,27,19,12,16,14,22,21,45,47,47,70,43,18,68,18,65,19,29,21,14,34,14,33,19,13,11
7667,23,175.26,68.9,247,66,1,3,2,6,53,48,55,71,49,54,43,49,70,57,55,54,53,61,58,55,56,49,48,49,57,55,45,62,70,49,60,59,58
4788,19,182.88,74.8,328,66,1,3,2,3,46,26,37,39,29,40,25,28,30,46,73,75,77,47,65,28,65,58,33,25,46,47,52,36,39,52,45,50,50
12564,25,182.88,78.0,328,72,1,3,2,6,69,40,53,65,32,62,54,64,59,63,78,78,65,60,66,68,69,77,75,49,75,65,52,57,47,58,65,62,68
12852,30,182.88,74.8,439,68,1,3,3,3,65,62,62,62,60,70,43,48,62,67,78,81,76,66,62,63,81,74,68,60,61,37,64,51,52,51,27,21,17
13059,29,154.94,69.9,751,68,1,4,3,6,68,66,44,61,59,70,63,41,62,63,73,79,70,72,75,70,61,84,61,60,65,56,68,64,49,52,66,58,45
1570,23,187.96,72.1,483,77,1,2,3,3,55,65,69,65,57,74,52,36,63,72,76,75,77,65,57,61,63,75,67,55,68,24,67,66,62,61,25,23,22
10218,22,182.88,77.1,104,74,1,4,2,9,34,39,66,66,50,56,40,57,65,62,67,71,65,53,53,69,83,61,75,56,61,58,23,26,62,54,62,65,64
3788,31,152.4,71.2,867,61,1,3,2,3,52,59,52,54,53,61,49,36,47,55,74,74,76,61,75,57,67,77,60,56,77,18,64,55,57,57,34,17,13
3946,24,170.18,59.9,608,65,1,3,2,3,59,29,56,60,32,61,57,35,57,56,72,71,75,55,66,58,71,64,59,32,65,55,52,51,45,60,57,55,55
6088,18,152.4,72.1,572,71,1,3,3,6,54,32,48,58,45,52,52,32,57,55,63,62,61,57,62,46,52,56,54,35,60,55,49,49,39,48,56,55,56
11078,30,175.26,63.0,421,66,1,4,4,6,62,63,54,60,54,68,57,60,53,63,75,80,76,60,75,64,57,62,64,60,54,48,65,62,58,62,42,46,42
16150,22,172.72,66.2,769,82,1,5,4,3,72,65,39,72,52,80,69,59,69,78,88,80,91,70,82,70,38,60,41,62,32,21,68,67,55,66,24,20,22
7277,18,165.1,59.0,15,80,1,3,2,6,48,47,45,65,52,60,51,49,59,58,70,63,69,56,86,62,64,49,44,53,42,34,58,57,56,65,46,49,53
17248,28,182.88,76.2,410,77,2,4,4,6,77,72,65,78,73,78,78,56,77,79,75,75,79,73,72,77,66,65,69,77,74,69,74,78,62,75,67,69,67
7168,29,175.26,69.9,564,60,1,2,2,3,60,22,49,52,23,52,56,27,42,53,56,54,66,63,78,55,77,79,69,23,78,57,42,30,33,56,60,61,57
9725,27,152.4,74.8,823,64,1,4,3,6,35,64,55,44,63,63,43,33,29,63,79,76,77,56,62,64,78,80,76,53,77,23,64,52,61,57,28,11,18
960,35,187.96,79.8,116,72,1,3,2,6,54,53,68,67,45,47,47,54,60,65,61,60,45,70,38,64,62,72,84,48,73,69,44,48,61,72,73,73,68
6006,19,182.88,72.1,572,69,1,4,2,3,56,38,47,55,28,52,54,34,49,51,72,68,58,51,68,51,59,60,51,44,56,48,48,44,41,45,49,57,55
8878,26,182.88,83.9,116,66,1,3,2,6,45,25,61,44,34,29,27,27,35,47,61,63,55,64,66,41,73,62,75,23,67,58,36,28,35,43,62,64,60
12235,25,175.26,68.0,454,70,1,3,3,9,63,56,29,67,18,71,34,25,54,70,86,80,86,58,87,55,75,67,60,51,33,29,57,48,40,49,25,26,28
2315,32,182.88,77.1,572,67,1,3,3,6,68,34,50,57,49,63,23,40,65,65,71,74,67,67,75,70,66,72,60,44,77,62,66,58,53,60,69,64,67
14534,27,187.96,83.9,140,74,1,3,3,3,44,25,73,69,31,63,48,30,63,68,52,51,60,72,50,50,48,76,86,39,71,73,47,61,39,71,71,66,69
4929,17,170.18,55.8,823,74,1,3,2,3,25,52,49,40,37,43,33,30,34,45,63,63,60,50,75,43,62,57,29,46,32,19,50,44,59,49,19,13,10
5762,18,152.4,60.8,823,69,1,3,2,6,33,59,56,39,37,48,32,31,30,53,65,61,71,53,66,50,73,50,61,47,32,16,55,49,53,52,14,15,19
4564,26,195.58,86.2,104,57,1,2,2,6,26,23,55,44,22,28,21,24,40,43,51,60,45,43,39,38,73,62,78,19,49,52,20,32,37,46,46,58,51
8756,27,193.04,89.8,327,67,1,2,1,6,20,13,18,24,16,13,14,20,27,23,42,40,38,65,37,14,51,36,70,13,23,23,16,40,15,57,19,15,11
9060,28,167.64,49.9,366,63,1,3,2,3,61,22,41,56,20,55,57,33,41,56,83,83,75,54,73,20,70,85,57,29,55,54,51,43,37,49,58,61,56
16534,21,167.64,66.2,496,86,1,3,4,6,73,72,39,71,59,80,56,53,69,78,90,84,87,64,91,71,61,85,50,69,45,30,67,73,69,77,43,42,37
9029,21,187.96,77.1,769,74,1,3,3,3,59,55,45,57,58,66,68,65,51,59,74,79,80,56,69,59,69,68,49,66,40,35,62,57,45,59,37,41,40
4464,21,154.94,72.1,823,66,1,3,2,6,36,57,52,42,40,57,38,31,33,52,73,71,68,52,74,55,56,51,60,43,47,10,55,49,56,46,46,19,13
14878,33,185.42,82.1,104,71,1,2,2,6,40,28,62,50,34,37,40,37,53,53,53,60,57,68,56,47,83,61,77,34,78,72,33,31,34,71,72,72,70
12156,21,154.94,69.9,823,81,1,3,3,3,42,69,65,57,59,61,47,31,43,66,69,72,59,67,69,62,67,56,64,62,60,23,68,51,64,55,20,14,23
5933,24,175.26,74.8,227,62,1,3,2,6,57,39,48,58,39,53,41,59,55,55,65,66,69,56,67,56,62,72,67,47,59,54,51,49,52,48,58,53,54
10583,19,182.88,76.2,104,81,1,3,2,6,33,25,68,50,28,31,29,26,46,45,67,70,54,59,69,36,71,73,71,25,70,65,33,35,41,54,59,66,64
635,26,172.72,68.0,454,75,1,4,4,6,65,69,45,61,66,83,75,66,55,77,92,92,91,72,79,76,52,78,59,72,66,43,72,60,61,73,40,50,38
751,21,152.4,74.8,15,84,1,3,4,6,75,65,42,76,58,77,79,74,75,75,75,68,81,66,72,74,50,61,47,70,42,22,60,75,78,70,31,26,31
15235,24,154.94,74.8,699,75,1,5,3,6,75,66,58,68,44,71,61,49,56,68,83,85,74,70,75,73,78,91,68,56,65,55,68,62,40,66,60,61,65
6225,25,175.26,78.0,166,59,1,3,2,9,48,37,54,53,34,58,41,30,56,52,60,64,69,53,78,39,76,75,74,27,52,60,28,32,29,45,58,56,52
7344,19,185.42,76.2,104,80,1,2,2,3,36,10,62,40,30,40,32,28,40,42,54,55,54,44,60,52,78,64,64,36,44,58,18,27,38,54,58,68,68
11876,29,152.4,69.9,105,67,1,3,2,6,56,39,68,63,38,42,29,29,64,51,69,60,59,60,72,41,90,73,74,42,65,65,38,42,49,58,66,67,64
13535,33,185.42,69.9,823,69,1,3,3,6,65,66,73,65,60,66,52,46,61,68,65,65,63,60,50,79,72,63,82,69,70,21,67,59,67,60,44,15,12
2481,30,152.4,83.9,572,66,1,2,2,6,60,19,47,57,23,51,59,28,56,56,69,64,65,60,68,35,77,73,69,20,70,67,28,31,20,52,64,70,75
2864,27,172.72,71.2,348,66,1,2,2,6,60,40,38,58,40,55,61,54,52,63,84,79,85,61,85,52,61,92,55,41,64,60,54,55,45,58,63,61,57
10645,26,193.04,93.0,127,66,1,3,2,6,21,24,76,60,20,39,20,26,43,50,60,68,57,49,35,54,84,77,90,36,72,56,25,34,33,59,56,57,63
5005,18,152.4,68.9,823,73,1,3,2,6,34,55,36,49,49,54,45,40,40,43,69,59,73,47,79,49,55,51,56,42,46,24,39,49,47,47,21,10,11
10778,23,190.5,76.2,327,74,1,2,1,3,16,13,13,29,13,21,15,20,23,24,41,46,34,52,45,16,59,32,68,16,21,23,12,23,23,34,28,13,14
16439,24,152.4,72.1,366,79,1,3,3,3,73,48,55,70,62,72,70,70,63,73,79,75,74,70,73,79,69,78,65,69,82,70,66,60,55,66,74,73,74
14197,25,154.94,73.9,366,75,1,3,3,3,74,59,58,69,65,67,76,69,70,71,78,78,78,67,72,68,67,64,61,65,68,65,64,65,62,68,70,69,68
15928,29,167.64,64.9,28,73,1,2,3,6,74,66,41,72,72,73,74,74,67,71,79,79,82,69,90,72,87,78,38,72,62,42,70,76,79,66,58,32,26
15260,29,187.96,77.1,327,73,1,3,1,6,21,20,18,31,20,19,12,17,24,22,45,49,34,76,57,24,58,30,49,12,22,25,18,59,22,53,23,19,19
14611,23,185.42,78.0,327,75,1,3,1,6,14,16,19,29,12,20,19,19,22,10,42,47,32,69,56,20,50,27,32,13,25,23,15,64,25,50,23,20,15
4333,20,193.04,89.8,823,68,1,2,2,9,34,58,63,55,47,53,45,53,31,57,48,52,40,48,41,54,61,59,74,58,62,24,59,51,62,54,21,32,18
795,31,175.26,71.2,823,73,1,2,3,9,59,77,72,72,70,65,48,50,48,73,66,66,67,67,73,77,71,67,75,67,59,15,75,60,72,79,20,27,15
14476,20,154.94,69.9,66,84,1,4,3,6,62,63,53,72,54,68,80,65,67,73,74,70,69,69,69,67,41,74,62,67,57,32,64,65,56,63,38,31,33
2448,26,154.94,68.0,250,69,1,4,3,3,59,61,62,66,55,63,60,55,65,64,67,65,70,62,67,60,69,85,61,61,58,63,60,68,55,69,63,62,63
5584,20,154.94,72.1,574,72,1,3,2,6,45,34,51,53,32,51,29,24,54,51,69,70,67,55,64,39,76,63,72,24,52,47,33,31,38,46,48,54,53
16702,27,152.4,64.9,28,76,1,4,4,3,68,62,58,77,62,76,56,51,71,76,84,84,88,74,89,66,86,88,64,60,67,59,72,72,54,73,56,51,50
907,36,167.64,71.2,88,72,2,2,3,3,72,63,43,75,62,72,73,67,71,79,59,51,69,65,88,70,33,47,53,67,39,35,64,80,77,73,42,51,36
5746,29,154.94,73.9,572,55,1,2,2,3,54,41,49,48,34,49,50,50,50,54,54,56,52,52,57,47,51,62,59,46,58,54,42,49,38,55,51,53,54
11073,28,193.04,88.0,104,67,1,3,2,6,43,38,76,57,30,58,38,38,52,60,61,57,40,58,34,39,33,64,82,37,68,63,37,47,37,61,60,68,64
15606,33,175.26,64.0,597,72,1,2,2,6,70,45,68,69,54,59,66,40,59,73,71,75,76,72,73,69,80,73,70,59,80,67,59,59,49,66,71,71,73
4580,19,170.18,67.1,823,70,1,3,2,3,41,58,51,41,40,55,31,32,34,54,67,71,63,54,70,48,62,54,47,49,32,12,55,42,53,42,16,15,12
9735,23,152.4,71.2,84,68,1,3,3,3,43,65,63,60,57,65,49,37,49,65,81,79,81,65,79,67,64,60,52,64,34,15,63,54,60,54,18,16,15
13425,27,185.42,79.8,140,71,1,3,2,6,37,52,57,69,38,53,32,32,71,68,39,34,40,72,54,51,66,63,80,64,74,67,56,65,37,58,66,65,57
12076,24,175.26,68.0,644,72,1,2,3,6,69,48,49,71,38,68,64,39,73,68,75,76,75,62,66,55,68,49,49,62,66,56,63,62,47,62,40,34,38
9124,37,187.96,88.0,327,63,1,3,1,6,18,11,11,30,11,27,17,14,20,22,32,30,30,61,31,45,52,23,50,11,18,13,11,50,23,55,22,20,18
8729,29,190.5,83.9,247,63,1,3,3,3,65,57,45,64,50,64,64,65,62,66,66,63,58,55,56,74,74,73,72,60,66,57,56,59,67,56,51,60,53
11341,33,195.58,92.1,327,66,1,3,1,6,15,14,11,32,14,15,13,11,33,32,32,32,55,62,44,33,50,27,59,12,23,15,7,26,25,40,30,13,15
11519,26,187.96,79.8,104,71,1,3,2,3,33,35,72,63,32,47,33,32,45,61,61,51,49,62,56,44,71,66,76,27,64,63,32,40,47,59,61,66,64
4770,19,152.4,69.9,483,70,1,3,2,6,45,45,39,42,41,54,41,39,43,55,65,66,66,50,68,53,41,55,38,41,40,21,48,51,53,48,44,34,31
450,30,175.26,73.0,149,76,1,3,3,6,58,54,64,74,53,67,46,41,69,68,69,68,64,74,72,61,64,89,75,54,85,75,58,64,41,70,75,79,76
6133,24,152.4,74.8,645,62,1,3,2,6,41,46,25,55,42,53,47,37,48,60,70,69,67,59,65,54,71,73,59,55,22,23,46,58,33,39,42,19,17
10612,32,175.26,71.2,69,65,2,4,3,6,56,55,61,66,60,65,63,71,59,66,71,74,72,62,73,61,59,57,59,58,57,43,61,66,54,72,25,23,12
12614,27,187.96,78.9,105,71,1,2,2,9,31,44,67,63,36,58,42,30,70,60,54,62,58,58,41,37,70,76,81,32,75,67,33,55,37,63,63,67,67
4347,20,187.96,73.9,327,71,1,3,1,6,13,5,14,27,10,6,12,11,22,17,28,26,27,55,46,26,59,24,52,6,24,7,8,38,14,39,10,11,12
2923,22,154.94,74.8,823,75,1,3,2,6,36,69,65,56,51,60,46,42,40,61,69,70,58,56,53,69,64,54,74,60,48,22,63,45,62,48,28,17,14
9173,27,152.4,73.0,298,64,1,3,2,3,54,56,48,63,56,62,65,63,64,64,59,69,72,53,76,65,66,74,59,63,53,44,59,67,59,64,54,48,45
8086,20,152.4,64.9,514,74,1,3,3,6,58,57,43,60,50,68,51,40,47,67,69,67,76,54,86,64,47,34,42,49,39,25,58,55,50,57,17,28,22
13502,32,154.94,73.9,870,69,1,3,2,6,67,71,68,67,74,62,44,53,62,65,70,68,74,68,73,69,71,71,65,65,61,22,69,67,65,65,25,12,13
2483,28,187.96,78.0,327,69,1,2,1,6,19,20,12,24,16,21,20,19,24,25,49,44,36,56,50,20,59,36,67,17,19,27,14,20,22,41,23,13,15
3234,22,154.94,71.2,116,74,1,2,2,6,28,24,63,48,20,58,23,31,46,63,60,64,57,51,54,38,74,74,77,22,42,60,25,31,39,64,62,66,64
8294,20,175.26,72.1,634,74,1,2,2,6,57,33,42,58,22,61,36,42,52,59,78,76,56,60,66,61,53,66,58,56,55,59,48,50,29,44,55,61,58
7412,19,172.72,68.9,390,73,1,3,2,6,53,48,54,64,48,59,52,54,63,60,74,75,57,57,78,58,59,55,45,48,47,24,50,52,53,65,42,48,52
1911,25,187.96,87.1,327,72,1,5,1,9,10,15,10,34,8,12,12,19,29,18,52,52,55,59,52,36,71,42,66,11,20,21,13,55,28,33,10,9,11
15539,20,185.42,78.0,116,83,1,3,2,6,52,23,68,65,23,54,32,31,64,64,65,75,58,69,53,38,65,70,75,28,60,74,33,36,36,64,71,76,72
169,24,172.72,63.0,390,84,1,3,3,3,77,74,51,76,82,80,78,70,69,81,78,75,85,81,85,78,62,80,45,71,64,55,81,76,71,69,32,44,35
6428,23,175.26,64.9,149,67,1,3,2,3,40,32,53,55,34,50,36,35,50,53,64,67,63,58,68,58,70,67,73,33,70,58,34,41,38,42,60,57,55
4714,19,175.26,59.9,267,63,1,2,2,3,51,33,32,51,31,57,37,34,50,55,76,66,78,58,80,38,72,57,44,30,38,51,55,50,37,40,56,58,45
5007,28,185.42,76.2,327,50,1,2,1,6,11,11,14,40,14,19,12,24,34,18,25,28,32,53,37,13,51,28,52,8,37,22,11,30,22,22,15,19,17
10440,33,170.18,72.1,1,65,1,3,3,9,61,49,48,70,62,61,68,45,69,67,70,73,78,57,76,66,67,64,72,68,59,63,56,60,67,68,49,45,47
16078,24,175.26,64.9,22,79,1,5,3,3,75,68,54,79,59,76,80,59,75,76,72,68,78,68,79,68,74,76,56,69,52,51,69,71,59,68,60,47,34
651,19,175.26,68.0,0,85,1,3,4,3,62,62,56,72,60,80,71,64,63,77,84,81,79,72,74,68,73,67,52,63,54,38,69,69,66,68,23,36,35
733,26,152.4,74.8,227,75,1,4,4,3,69,64,50,77,64,76,70,69,74,77,75,57,83,70,81,76,52,61,49,79,45,49,74,77,59,72,51,52,49
9623,18,154.94,67.1,247,80,1,4,2,6,49,53,58,72,55,62,59,46,72,67,63,66,61,55,69,64,60,57,48,55,39,56,53,64,49,58,58,55,47
200,31,187.96,88.0,327,79,2,3,1,6,11,14,15,35,12,13,12,11,33,12,49,53,38,75,45,22,49,28,65,15,22,22,12,44,15,58,16,11,14
2051,28,185.42,83.0,104,70,1,3,2,6,55,42,64,51,39,54,41,40,41,57,64,68,53,62,53,53,63,74,79,40,70,65,46,43,59,64,66,73,69
327,31,182.88,76.2,815,77,1,3,3,6,77,44,75,75,59,66,64,51,63,73,71,74,66,76,67,61,71,78,73,53,74,78,66,56,55,62,69,77,80
15916,29,170.18,72.1,572,73,1,3,3,6,68,43,52,68,27,73,37,25,63,69,85,81,76,75,68,66,77,86,66,55,62,70,67,68,37,70,57,72,72
2909,25,175.26,73.9,606,70,1,2,2,6,62,30,61,59,25,58,45,32,57,58,76,73,61,64,74,48,70,68,57,48,62,66,41,51,39,62,58,62,64
2435,23,175.26,68.0,400,73,1,4,3,6,62,55,44,67,50,65,66,64,58,66,71,75,75,63,82,62,62,69,59,51,58,58,64,62,60,65,60,52,52
16254,26,187.96,92.1,104,75,1,3,2,9,40,22,86,48,24,35,36,16,43,46,42,43,34,67,31,52,33,72,91,24,90,83,25,20,24,62,68,71,68
12122,34,182.88,73.9,104,67,1,3,2,6,55,33,56,60,32,58,60,52,59,57,58,53,70,62,70,56,73,74,76,57,76,65,46,54,42,59,66,68,67
8871,25,185.42,76.2,327,66,1,2,1,6,6,7,8,33,9,11,6,7,52,28,37,33,24,55,33,10,66,32,61,6,22,13,11,38,22,43,10,10,13
4397,18,193.04,78.0,327,74,1,2,1,6,10,10,14,28,6,11,11,12,26,13,28,18,31,57,26,17,36,29,55,11,27,10,5,26,13,37,11,11,12
14620,23,182.88,77.1,43,78,1,3,3,6,70,63,61,72,62,73,64,58,68,73,75,70,69,65,68,66,65,74,70,63,77,53,67,71,57,71,20,60,62
5511,21,195.58,89.8,823,64,1,3,2,6,29,51,63,42,44,50,31,23,25,52,51,53,54,48,37,51,61,56,81,41,49,17,50,44,53,48,20,15,21
10984,23,182.88,76.2,272,74,1,2,3,6,68,50,64,68,42,66,43,35,64,70,67,64,57,72,62,67,48,73,67,54,68,72,66,58,44,64,53,52,54
7070,18,167.64,55.8,390,77,1,3,3,6,51,52,50,69,48,63,52,46,60,68,69,62,60,42,58,52,50,41,39,41,40,26,47,61,52,62,41,51,57
11509,31,175.26,77.1,26,66,1,4,4,6,63,62,51,68,56,68,68,63,65,70,57,52,81,60,65,61,68,60,66,57,66,51,63,66,55,70,41,52,46
2202,29,193.04,83.9,140,67,1,4,2,6,40,43,67,72,35,46,38,57,54,61,41,52,49,64,40,67,78,78,87,48,92,62,48,67,68,68,60,65,61
15240,27,182.88,83.9,167,74,1,3,3,6,70,47,64,72,51,65,61,56,71,68,61,75,67,69,57,73,67,76,77,67,74,74,62,69,48,74,70,70,69
2388,22,193.04,73.9,127,72,1,2,2,3,56,23,60,58,31,52,46,29,59,55,52,66,49,55,38,36,65,71,73,30,64,66,39,33,31,58,64,68,65
9950,42,172.72,69.9,328,64,1,3,3,3,71,43,61,69,43,63,69,69,70,64,48,52,67,65,68,65,69,54,72,63,92,65,64,69,60,67,62,66,63
14279,27,152.4,73.0,572,70,1,3,3,6,66,36,57,67,35,66,57,49,63,68,73,74,67,72,70,56,54,76,65,48,71,68,59,60,46,73,66,66,69
10041,24,193.04,84.8,104,71,1,3,2,6,35,40,61,57,29,30,32,32,47,56,61,61,46,60,38,41,63,66,81,42,56,63,25,31,38,56,61,65,62
2518,27,187.96,84.8,140,69,1,3,2,6,41,41,63,63,33,59,41,39,64,62,58,56,47,62,43,70,62,48,83,38,84,66,39,47,49,69,67,68,65
11226,29,154.94,73.9,328,66,1,3,3,6,67,37,56,63,32,64,62,61,62,63,74,74,71,60,68,60,67,74,67,51,51,60,57,60,52,58,62,64,63
2189,25,187.96,76.2,104,70,1,2,2,3,48,26,63,57,17,57,51,36,49,59,62,70,61,63,63,35,76,73,75,28,63,68,50,48,33,61,66,65,65
3944,26,152.4,74.8,149,60,1,3,2,6,47,40,46,58,39,54,41,36,55,57,68,65,59,48,64,49,56,72,75,42,74,58,51,55,42,50,57,59,58
12116,28,190.5,78.9,104,68,1,2,2,6,31,31,74,62,33,47,30,28,65,56,54,44,54,61,51,58,64,69,77,46,64,64,27,38,34,61,65,68,67
17745,27,182.88,78.9,149,83,2,4,3,6,67,72,83,79,66,73,71,68,78,77,76,78,73,81,74,78,91,90,79,74,84,85,75,77,60,81,80,83,86
13418,26,190.5,83.0,327,73,1,3,1,9,12,6,13,15,9,12,14,12,22,10,15,33,28,69,23,23,42,24,70,6,28,7,4,28,17,34,22,11,10
9962,27,185.42,82.1,823,65,1,4,2,6,46,66,79,55,56,55,55,33,53,48,66,62,72,60,45,62,79,72,81,46,53,40,67,55,37,49,17,40,41
16843,31,190.5,88.0,105,76,1,3,2,6,55,31,75,61,44,49,38,39,62,54,61,67,44,67,41,55,57,52,89,44,88,71,34,43,51,74,81,77,71
4885,18,175.26,69.9,823,65,1,3,2,3,31,46,45,36,33,42,39,26,34,49,77,68,75,52,75,43,58,54,47,44,25,14,40,41,58,42,11,19,13
11946,22,182.88,73.0,247,78,1,3,3,3,54,46,49,72,43,69,50,63,66,72,69,66,71,62,75,56,60,73,55,57,48,55,54,68,53,69,63,59,55
9851,22,182.88,73.0,105,72,1,2,2,3,57,53,62,68,57,66,46,41,58,69,75,72,75,55,67,68,56,59,60,62,59,64,52,63,54,68,64,63,66
17128,27,172.72,59.9,0,78,2,3,5,6,76,70,35,75,65,80,77,75,77,76,84,76,87,65,85,72,53,71,41,72,44,25,70,80,64,68,46,26,30
3547,21,152.4,68.9,779,75,1,3,3,6,62,50,50,62,52,70,68,61,58,70,73,74,71,52,66,68,57,55,45,45,43,45,48,52,64,52,57,58,53
15632,21,172.72,69.9,15,82,1,4,3,6,71,72,62,69,66,75,79,72,68,77,81,77,82,59,67,72,68,62,49,69,47,34,72,66,67,61,41,40,42
11895,30,152.4,71.2,328,67,1,3,2,6,65,51,55,60,21,61,70,66,57,62,74,68,75,56,70,65,78,87,68,49,84,65,69,58,42,67,65,67,66
7439,23,182.88,73.9,247,68,1,3,2,3,42,56,43,61,31,55,30,37,56,58,52,60,45,57,52,42,64,57,68,60,41,63,60,58,47,43,64,62,56
11750,29,185.42,73.9,675,67,1,5,3,3,53,63,62,49,61,75,53,49,48,64,91,91,83,70,57,61,82,75,64,59,34,19,66,53,71,60,30,15,13
16892,21,154.94,73.0,262,86,1,3,3,3,77,67,58,79,70,79,69,52,74,80,84,71,79,68,74,72,62,69,60,73,64,67,70,76,65,68,49,72,68
6210,34,154.94,74.8,104,57,1,3,2,6,48,34,60,52,41,32,19,46,51,47,35,34,29,52,34,56,67,43,66,47,60,56,31,36,52,62,55,56,53
14579,27,185.42,84.8,823,71,1,3,3,6,58,73,55,70,64,75,65,49,55,70,64,71,47,67,48,75,39,69,85,62,45,20,73,69,61,75,25,23,20
1713,22,185.42,84.8,823,75,1,2,2,9,50,66,57,59,64,63,42,31,46,61,73,88,42,67,50,78,74,66,90,61,58,13,68,59,57,66,23,26,16
16253,27,193.04,83.9,104,77,1,3,2,3,28,37,78,64,46,62,48,41,55,65,74,78,70,73,60,66,77,68,80,32,70,68,38,33,50,72,69,78,77
11778,28,175.26,69.9,3,67,1,3,3,6,59,60,39,67,43,68,68,67,64,67,76,75,76,58,79,64,69,70,63,62,48,34,59,68,70,66,30,37,36
7702,23,152.4,68.0,105,67,1,2,2,6,41,39,62,51,28,46,49,38,54,48,59,61,49,59,69,56,67,65,60,24,60,59,20,44,46,50,60,64,62
10654,21,187.96,68.0,574,72,1,3,2,6,55,29,66,55,22,56,40,22,52,58,73,67,64,60,56,39,76,73,74,28,60,64,51,50,36,54,64,65,66
11936,28,152.4,72.1,391,67,1,4,3,6,62,67,44,65,59,69,64,55,61,67,72,75,58,57,70,64,37,71,69,58,45,26,56,68,66,59,37,27,23
7163,30,182.88,76.2,327,60,1,2,1,9,10,11,18,29,12,16,13,10,23,16,42,48,34,48,56,18,55,37,76,14,22,15,11,19,29,22,21,18,18
5547,20,175.26,71.2,662,68,1,2,2,3,57,34,47,54,38,51,39,35,52,43,72,76,69,56,68,50,49,58,47,39,58,48,47,52,45,46,33,46,44
6319,26,185.42,74.8,149,60,1,3,2,3,41,33,55,54,31,45,33,39,56,54,58,57,54,59,59,44,52,66,68,28,55,58,39,47,40,40,54,56,57
15542,23,175.26,66.2,857,79,1,3,3,6,46,75,66,70,59,77,47,42,64,75,74,74,71,75,76,68,73,68,40,65,33,17,75,66,70,55,43,15,21
12333,30,154.94,73.0,572,67,1,4,2,6,65,56,66,65,59,62,64,66,59,64,71,80,74,62,71,71,73,84,70,58,62,63,64,63,58,66,59,64,63
13816,28,154.94,74.8,698,69,1,3,3,6,62,62,67,68,65,67,66,59,63,68,79,79,67,69,54,71,72,73,74,65,51,48,69,66,66,64,23,41,38
14033,21,187.96,76.2,104,78,1,3,2,3,25,23,66,62,28,28,26,24,45,44,54,55,42,64,58,42,72,63,72,25,57,72,29,32,38,66,71,76,73
9199,25,187.96,82.1,823,68,1,2,2,9,39,64,73,44,51,48,39,32,39,58,41,51,46,58,48,74,60,47,87,54,32,11,64,54,65,64,16,22,17
11325,22,182.88,78.0,372,71,1,3,2,6,65,24,64,57,31,48,34,25,39,58,77,80,69,61,67,57,81,78,71,22,67,58,45,33,30,50,63,65,66
13294,33,167.64,64.0,644,69,1,3,3,6,73,60,36,66,54,66,77,74,71,72,74,67,83,67,90,74,59,67,31,73,76,52,64,68,61,72,47,50,48
17942,28,193.04,76.2,327,93,4,3,1,3,17,13,21,50,13,18,21,19,51,38,57,58,62,90,43,31,67,43,64,12,38,30,12,68,40,70,25,21,13
6827,25,190.5,83.0,327,61,1,2,1,3,15,18,16,25,19,21,19,17,26,22,43,41,57,57,48,25,68,30,67,13,35,19,20,26,24,43,29,17,12
9347,18,187.96,79.8,574,80,1,3,2,3,53,29,57,62,31,55,28,35,49,55,69,67,74,62,69,46,83,64,58,30,64,59,43,43,42,48,63,69,67
